unique_id,date,title,company,type,experience,salary,interview_difficulty
132932533899120,4/7/2022,platform engineer,Apple,Tech,2,64704,91.26
132932533907520,6/24/2022,trainee,Boeing,non-Tech,2,65725,86.21
132932533898688,8/21/2022,database engineer,Apple,Tech,1,67064,90.86
132932533910592,7/8/2022,database engineer,Apple,Tech,3,91818,88.01
132932533895616,12/23/2022,platform engineer,Apple,Tech,2,70413.94240055831,80.53
132932533900560,9/30/2022,eletrician,Siemens,non-Tech,3,81984,93.5
132932533911216,9/20/2022,eletrician,Siemens,non-Tech,4,80855,82.19
132932533899408,5/13/2022,database engineer,Apple,Tech,3,73377,89.1
132932533907040,4/6/2022,database engineer,Apple,Tech,3,69634,96
132932533901760,12/29/2022,trainee,Siemens,non-Tech,3,70823,96.66
132932533910400,10/26/2022,database engineer,Apple,Tech,2,63282,80.23
132932533901040,5/31/2022,eletrician,Siemens,non-Tech,2,70003,74.2
132932533906800,7/20/2022,platform engineer,Apple,Tech,1,78170,95.91
132932533910688,10/2/2022,mechanic,Siemens,non-Tech,2,82681,95.01
132932533897200,4/5/2022,trainee,Siemens,non-Tech,1,77441,94.75
132932533905840,4/26/2022,database engineer,Apple,Tech,3,62515,93.13
132932533905120,2/24/2022,eletrician,Siemens,non-Tech,2,81533,77.46
132932533897968,11/25/2022,platform engineer,Apple,Tech,1,64231,83.58
132932533908720,12/7/2022,platform engineer,Apple,Tech,2,80321,89.89230176260445
132932533902816,12/8/2022,platform engineer,Apple,Tech,3,61015,99.3
132932533910496,9/10/2022,platform engineer,Apple,Tech,3,66608,96.92
132932533900848,12/5/2022,eletrician,Siemens,non-Tech,1,74142,76.18
132932533903968,6/22/2022,trainee,Siemens,non-Tech,2,81552,86.17
132932533910352,10/18/2022,platform engineer,Apple,Tech,4,67376,92.06
132932533907808,4/18/2022,trainee,Siemens,non-Tech,2,61553,98.97
132932533909008,11/6/2022,database engineer,Apple,Tech,1,61095,85.4
132932533896768,9/15/2022,database engineer,Apple,Tech,2,61809,98.82
132932533901856,6/27/2022,database engineer,Apple,Tech,2,69209,92.98
132932533901808,6/4/2022,trainee,Siemens,non-Tech,2,64357,96.3
132932533901280,5/17/2022,platform engineer,Apple,Tech,4,70413.94240055831,77.88
132932533904160,5/17/2022,eletrician,Siemens,non-Tech,3,85610,97.95
132932533906656,11/27/2022,eletrician,Siemens,non-Tech,1,82919,81.79
132932533903344,5/8/2022,database engineer,Apple,Tech,2,63069,80.36
132932533906752,5/18/2022,trainee,Siemens,non-Tech,2,62060,97.09
132932533907616,5/5/2022,devops engineer,Apple,Tech,1,61412,94.72
132932533902144,10/25/2022,platform engineer,Apple,Tech,4,79307,99.13
132932533909584,1/22/2022,trainee,Siemens,non-Tech,2,80399,99.21
132932533901184,4/10/2022,database engineer,Apple,Tech,3,84310,81.25
132932533895328,12/14/2022,trainee,Siemens,non-Tech,2,76285,90.95
132932533897920,11/6/2022,trainee,Siemens,non-Tech,3,66207,90.27
132932533910880,5/26/2022,trainee,Siemens,non-Tech,1,60113,98.73
132932533908768,5/13/2022,platform engineer,Apple,Tech,3,68751,87.04
132932533908672,7/24/2022,eletrician,Siemens,non-Tech,2,70955,89.56
132932533901424,11/12/2022,trainee,Siemens,non-Tech,2,64639,79.37
132932533904544,9/11/2022,database engineer,Apple,Tech,2,60010,69.97
132932533900944,6/27/2022,eletrician,Siemens,non-Tech,2,72937,93.37
132932533895280,9/23/2022,devops engineer,Apple,Tech,3,96793,79.53
132932533902864,6/4/2022,platform engineer,Apple,Tech,3,80213,89.89230176260445
132932533895760,7/12/2022,database engineer,Apple,Tech,1,62749,76.42
132932533901616,9/19/2022,platform engineer,Apple,Tech,3,62081,80.52
132932533900608,6/20/2022,trainee,Siemens,non-Tech,3,68241,80.91
132932533897008,7/24/2022,eletrician,Siemens,non-Tech,2,70799,90.6
132932533907856,10/7/2022,database engineer,Apple,Tech,1,73510,94.57
132932533902576,9/12/2022,platform engineer,Apple,Tech,1,60827,89.89230176260445
132932533898112,2/11/2022,eletrician,Siemens,non-Tech,2,61556,96.82
132932533911264,4/29/2022,database engineer,Apple,Tech,1,92661,78.85
132932533905072,8/30/2022,database engineer,Apple,Tech,4,63153,85.8
132932533895424,6/4/2022,database engineer,Apple,Tech,2,72237,87.67
132932533909440,8/31/2022,trainee,Siemens,non-Tech,4,61746,83.12
132932533905792,8/27/2022,platform engineer,Apple,Tech,4,90048,95.63
132932533907568,10/16/2022,trainee,Boeing,non-Tech,2,66720,98.6
132932533897392,9/10/2022,platform engineer,Apple,Tech,1,76214,75.74
132932533900272,11/2/2022,trainee,Boeing,non-Tech,2,64925,83.45
132932533910784,7/8/2022,trainee,Siemens,non-Tech,3,71946,99.64
132932533901664,5/19/2022,designer,Boeing,non-Tech,2,74306,73.55
132932533901376,1/18/2022,eletrician,Siemens,non-Tech,3,65979,93.47
132932533900752,6/23/2022,platform engineer,Apple,Tech,2,75017,84.54
132932533899600,5/11/2022,eletrician,Siemens,non-Tech,4,77355,92.22
132932533899792,10/26/2022,trainee,Siemens,non-Tech,2,66553,94.46
132932533910928,11/2/2022,database engineer,Apple,Tech,4,76541,98.24
132932533899168,4/29/2022,trainee,Siemens,non-Tech,3,65722,89.89230176260445
132932533901328,12/27/2022,trainee,Siemens,non-Tech,2,65202,83.39
132932533907904,8/16/2022,platform engineer,Apple,Tech,2,61548,85.14
132932533896048,11/10/2022,eletrician,Siemens,non-Tech,1,82935,97.1
132932533905888,6/20/2022,platform engineer,Apple,Tech,2,81103,93.55
132932533898928,5/14/2022,trainee,Siemens,non-Tech,2,63572,90.17
132932533910160,3/3/2022,eletrician,Siemens,non-Tech,2,75942,97.57
132932533907952,11/12/2022,mechanic,Boeing,non-Tech,1,70413.94240055831,88.9
132932533902240,9/17/2022,platform engineer,Apple,Tech,2,63599,97.12
132932533898592,2/22/2022,eletrician,Siemens,non-Tech,3,67092,75.67
132932533898064,4/30/2022,database engineer,Apple,Tech,2,70576,90.97
132932533911312,7/3/2022,database engineer,Apple,Tech,3,68675,89.89230176260445
132932533904256,9/7/2022,designer,Boeing,non-Tech,2,75412,86.68
132932533899648,9/13/2022,trainee,Siemens,non-Tech,2,68939,91.28
132932533902192,7/20/2022,database engineer,Apple,Tech,3,71122,96.53
132932533900080,11/6/2022,platform engineer,Apple,Tech,2,60037,76.78
132932533900512,8/22/2022,eletrician,Siemens,non-Tech,2,72779,95.43
132932533906944,7/4/2022,database engineer,Apple,Tech,3,61427,91.81
132932533904784,8/31/2022,eletrician,Siemens,non-Tech,1,77723,71.84
132932533896720,9/3/2022,platform engineer,Apple,Tech,3,61188,92.72
